instance;mip_crossings;mip_time_ms;bf_crossings;bf_time_ms;optimal
hypergraph_(3,2);0;2,2219;0;0,0398;yes
hypergraph_(3,3);1;1,4608;0;0,1538;no
hypergraph_(3,4);1;1,6222;0;0,9622;no
hypergraph_(3,5);3;3,2913;1;7,7303;no
hypergraph_(3,6);3;4,5449;3;64,9733;yes
hypergraph_(3,7);5;5,5497;2;611,1596;no
hypergraph_(3,8);6;6,9873;3;6387,5853;no
hypergraph_(3,9);4;8,6701;2;100298,1254;no
hypergraph_(4,2);0;3,6776;0;0,0262;yes
hypergraph_(4,3);0;4,4561;0;0,1735;yes
hypergraph_(4,4);2;1,8384;2;0,9350;yes
hypergraph_(4,5);5;4,6354;3;7,9300;no
hypergraph_(4,6);11;4,1237;8;71,2143;no
hypergraph_(4,7);17;6,1977;14;676,8539;no
hypergraph_(4,8);22;7,5201;22;6856,3746;yes
hypergraph_(4,9);21;8,7010;12;76569,8204;no
hypergraph_(5,2);1;1,6162;0;0,0341;no
hypergraph_(5,3);1;1,2728;1;0,1506;yes
hypergraph_(5,4);4;2,0235;4;1,0003;yes
hypergraph_(5,5);8;2,3052;8;7,9469;yes
hypergraph_(5,6);11;5,0025;6;67,2722;no
hypergraph_(5,7);8;5,3810;8;643,6647;yes
hypergraph_(5,8);16;7,3250;15;7194,0253;no
hypergraph_(5,9);21;12,7548;20;78432,8309;no
hypergraph_(6,2);1;1,9461;1;0,0358;yes
hypergraph_(6,3);2;3,5194;2;0,1698;yes
hypergraph_(6,4);6;1,6501;5;1,1221;no
hypergraph_(6,5);8;4,2685;7;8,6086;no
hypergraph_(6,6);14;4,8590;13;75,5975;no
hypergraph_(6,7);19;6,3557;17;724,1006;no
hypergraph_(6,8);20;6,6927;17;7338,1383;no
hypergraph_(6,9);29;8,3169;25;91586,0391;no
hypergraph_(7,2);1;3,3246;1;0,0343;yes
hypergraph_(7,3);5;2,1192;4;0,2067;no
hypergraph_(7,4);6;3,4573;5;1,4613;no
hypergraph_(7,5);6;6,2300;5;10,2787;no
hypergraph_(7,6);10;7,2030;10;94,5041;yes
hypergraph_(7,7);16;8,5517;15;1051,6771;no
hypergraph_(7,8);20;15,6674;19;10041,2637;no
hypergraph_(7,9);28;16,3661;25;115603,5748;no
hypergraph_(8,2);0;4,9576;0;0,0330;yes
hypergraph_(8,3);5;2,1914;5;0,1884;yes
hypergraph_(8,4);7;6,1965;7;1,2360;yes
hypergraph_(8,5);14;3,2786;14;10,0550;yes
hypergraph_(8,6);25;3,6206;25;95,0585;yes
hypergraph_(8,7);30;9,6725;30;863,1541;yes
hypergraph_(8,8);36;9,6435;36;8779,6646;yes
hypergraph_(8,9);42;10,0579;39;102195,6577;no
hypergraph_(9,2);1;2,2403;1;0,0505;yes
hypergraph_(9,3);6;2,0275;6;0,1988;yes
hypergraph_(9,4);11;2,3619;10;1,2774;no
hypergraph_(9,5);16;4,3694;16;9,9731;yes
hypergraph_(9,6);26;5,3800;25;93,1845;no
hypergraph_(9,7);45;7,9959;45;912,8876;yes
hypergraph_(9,8);53;8,2160;53;9397,4617;yes
hypergraph_(9,9);65;10,5049;64;109720,7096;no
hypergraph_(10,2);0;1,9027;0;0,0299;yes
hypergraph_(10,3);1;1,7058;1;0,1794;yes
hypergraph_(10,4);5;3,9421;5;1,1928;yes
hypergraph_(10,5);14;3,8142;12;11,1546;no
hypergraph_(10,6);23;17,1431;21;88,4196;no
hypergraph_(10,7);29;6,1663;26;879,8236;no
hypergraph_(10,8);45;10,1581;42;8896,4624;no
hypergraph_(10,9);47;9,4919;44;100075,2284;no
