instance;crossings_after_mip;time_ms
hypergraph_(3,2);0;6,1890
hypergraph_(3,4);1;2,8729
hypergraph_(3,8);6;12,3676
hypergraph_(5,2);1;2,3307
hypergraph_(5,5);8;4,1297
hypergraph_(5,10);19;15,2161
hypergraph_(5,10);19;14,3084
hypergraph_(7,2);1;2,3253
hypergraph_(7,7);16;7,1315
hypergraph_(7,14);82;31,6980
hypergraph_(7,19);162;75,2240
hypergraph_(9,3);6;1,7619
hypergraph_(9,9);65;15,6615
hypergraph_(9,18);202;70,9161
hypergraph_(11,3);9;2,1946
hypergraph_(11,11);79;17,0321
hypergraph_(11,22);388;101,6274
hypergraph_(13,4);6;2,4074
hypergraph_(13,13);221;23,8190
hypergraph_(13,26);658;174,6052
hypergraph_(15,5);17;3,3458
hypergraph_(15,15);228;33,1157
hypergraph_(15,30);872;263,0738
hypergraph_(17,5);11;5,5489
hypergraph_(17,17);210;45,6952
hypergraph_(17,34);997;352,3741
hypergraph_(19,6);24;11,5168
hypergraph_(19,19);370;63,3580
hypergraph_(19,38);1378;495,4902
hypergraph_(21,7);24;9,6256
hypergraph_(21,21);413;86,7894
hypergraph_(21,42);1820;682,9075
hypergraph_(23,7);75;6,2029
hypergraph_(23,23);749;109,5798
hypergraph_(23,46);2544;880,7175
hypergraph_(25,8);54;9,6273
hypergraph_(25,25);722;143,4210
hypergraph_(25,50);3218;1158,3292
