instance;method;crossings;time_ms
00-crossing_minimization-9-0;Natural;27,1400;66,2193
00-crossing_minimization-9-0;Propagation;37;60,9084
00-crossing_minimization-9-0;Barycenter;35;65,0568
00-crossing_minimization-9-0;ILP-HiGHS;19;18980,9512
00-crossing_minimization-9-0;ILP-Gurobi;19;254,9796
01-crossing_minimization-9-0;Natural;23,3800;100,7649
01-crossing_minimization-9-0;Propagation;26;143,1241
01-crossing_minimization-9-0;Barycenter;26;94,3216
01-crossing_minimization-9-0;ILP-HiGHS;15;14894,2200
01-crossing_minimization-9-0;ILP-Gurobi;15;208,3557
02-crossing_minimization-9-0;Natural;25,3400;96,2913
02-crossing_minimization-9-0;Propagation;28;87,3706
02-crossing_minimization-9-0;Barycenter;25;74,7082
02-crossing_minimization-9-0;ILP-HiGHS;25;30115,0768
02-crossing_minimization-9-0;ILP-Gurobi;18;222,0347
03-crossing_minimization-9-0;Natural;28,0600;78,4836
03-crossing_minimization-9-0;Propagation;37;65,2351
03-crossing_minimization-9-0;Barycenter;34;77,4493
03-crossing_minimization-9-0;ILP-HiGHS;34;30105,6414
03-crossing_minimization-9-0;ILP-Gurobi;21;292,5634
04-crossing_minimization-9-0;Natural;24,0600;108,1558
04-crossing_minimization-9-0;Propagation;27;147,5230
04-crossing_minimization-9-0;Barycenter;20;141,9449
04-crossing_minimization-9-0;ILP-HiGHS;11;13450,2343
04-crossing_minimization-9-0;ILP-Gurobi;11;232,9302
05-crossing_minimization-9-0;Natural;36,2000;84,3974
05-crossing_minimization-9-0;Propagation;33;58,1628
05-crossing_minimization-9-0;Barycenter;32;56,1161
05-crossing_minimization-9-0;ILP-HiGHS;30;27647,1492
05-crossing_minimization-9-0;ILP-Gurobi;30;232,1107
06-crossing_minimization-9-0;Natural;28,3400;63,9923
06-crossing_minimization-9-0;Propagation;32;65,2187
06-crossing_minimization-9-0;Barycenter;29;57,9463
06-crossing_minimization-9-0;ILP-HiGHS;22;25742,3011
06-crossing_minimization-9-0;ILP-Gurobi;22;163,2446
07-crossing_minimization-9-0;Natural;22,1200;69,1383
07-crossing_minimization-9-0;Propagation;30;64,4270
07-crossing_minimization-9-0;Barycenter;15;67,0477
07-crossing_minimization-9-0;ILP-HiGHS;15;11585,6911
07-crossing_minimization-9-0;ILP-Gurobi;15;159,6907
08-crossing_minimization-9-0;Natural;28,5000;66,1138
08-crossing_minimization-9-0;Propagation;25;65,4578
08-crossing_minimization-9-0;Barycenter;22;61,4011
08-crossing_minimization-9-0;ILP-HiGHS;22;10025,9932
08-crossing_minimization-9-0;ILP-Gurobi;22;176,0485
09-crossing_minimization-9-0;Natural;25,7200;67,7269
09-crossing_minimization-9-0;Propagation;23;57,2647
09-crossing_minimization-9-0;Barycenter;25;65,6195
09-crossing_minimization-9-0;ILP-HiGHS;22;15604,0987
09-crossing_minimization-9-0;ILP-Gurobi;22;183,9329
10-crossing_minimization-10-0;Natural;49,6200;83,0585
10-crossing_minimization-10-0;Propagation;48;75,5213
10-crossing_minimization-10-0;Barycenter;49;82,0892
10-crossing_minimization-10-0;ILP-HiGHS;49;30107,9931
10-crossing_minimization-10-0;ILP-Gurobi;35;321,3021
11-crossing_minimization-10-0;Natural;43,1600;86,2839
11-crossing_minimization-10-0;Propagation;34;73,1921
11-crossing_minimization-10-0;Barycenter;34;83,6980
11-crossing_minimization-10-0;ILP-HiGHS;34;30113,8663
11-crossing_minimization-10-0;ILP-Gurobi;33;314,4970
12-crossing_minimization-10-0;Natural;50,6000;84,8568
12-crossing_minimization-10-0;Propagation;49;81,0380
12-crossing_minimization-10-0;Barycenter;53;75,7398
12-crossing_minimization-10-0;ILP-HiGHS;53;30096,4840
12-crossing_minimization-10-0;ILP-Gurobi;36;333,3195
13-crossing_minimization-10-0;Natural;53,3400;76,3046
13-crossing_minimization-10-0;Propagation;62;76,9605
13-crossing_minimization-10-0;Barycenter;58;72,8865
13-crossing_minimization-10-0;ILP-HiGHS;58;30103,7691
13-crossing_minimization-10-0;ILP-Gurobi;42;345,6651
14-crossing_minimization-10-0;Natural;52,0400;84,1837
14-crossing_minimization-10-0;Propagation;50;85,0486
14-crossing_minimization-10-0;Barycenter;46;81,6024
14-crossing_minimization-10-0;ILP-HiGHS;46;30143,9495
14-crossing_minimization-10-0;ILP-Gurobi;46;634,3506
15-crossing_minimization-10-0;Natural;52,0200;125,4782
15-crossing_minimization-10-0;Propagation;51;78,5952
15-crossing_minimization-10-0;Barycenter;50;72,9180
15-crossing_minimization-10-0;ILP-HiGHS;50;30100,2234
15-crossing_minimization-10-0;ILP-Gurobi;37;470,7836
16-crossing_minimization-10-0;Natural;51,5200;81,7654
16-crossing_minimization-10-0;Propagation;54;78,0999
16-crossing_minimization-10-0;Barycenter;56;74,6404
16-crossing_minimization-10-0;ILP-HiGHS;56;30120,4075
16-crossing_minimization-10-0;ILP-Gurobi;46;3087,9393
17-crossing_minimization-10-0;Natural;37,0400;78,3834
17-crossing_minimization-10-0;Propagation;29;80,4853
17-crossing_minimization-10-0;Barycenter;29;75,7698
17-crossing_minimization-10-0;ILP-HiGHS;29;30101,4261
