instance;avg_crossings_before;avg_crossings_after;avg_crossing_ratio_pct;avg_time_ms
00-crossing_minimization-9-0;97,82;27,42;28,447;21,1896
01-crossing_minimization-9-0;98,24;26,62;27,7608;20,8285
02-crossing_minimization-9-0;92,92;25,86;28,5811;24,0012
03-crossing_minimization-9-0;94,54;29,4;31,7613;20,9763
04-crossing_minimization-9-0;101,08;24,02;24,1278;21,0329
05-crossing_minimization-9-0;115,92;35,58;31,3721;21,015
06-crossing_minimization-9-0;93,66;28,68;31,5506;21,3297
07-crossing_minimization-9-0;100,36;22,16;22,5447;21,5078
08-crossing_minimization-9-0;95,32;26,12;27,9115;21,061
09-crossing_minimization-9-0;95,68;25,26;26,9758;21,216
10-crossing_minimization-10-0;158,18;44,88;28,721;26,925
11-crossing_minimization-10-0;158,06;41,44;26,5957;27,1006
12-crossing_minimization-10-0;155,58;49,98;32,4165;27,0455
13-crossing_minimization-10-0;148,54;52,24;35,659;27,1661
14-crossing_minimization-10-0;162,24;52,04;32,6067;27,0274
15-crossing_minimization-10-0;158,66;49,94;31,8733;27,2139
16-crossing_minimization-10-0;153,38;51,58;34,4493;27,1906
17-crossing_minimization-10-0;170,46;37,12;22,0109;27,7172
18-crossing_minimization-10-0;151,7;53,5;35,5953;27,094
19-crossing_minimization-10-0;156,04;40,44;26,2125;27,0524
20-crossing_minimization-8-0;93,96;26,72;29,1066;26,8427
21-crossing_minimization-8-0;89,4;22,28;25,3049;27,8598
22-crossing_minimization-8-0;97,84;30,12;31,3729;27,6424
23-crossing_minimization-8-0;94,8;21,48;23,401;26,9634
24-crossing_minimization-8-0;84,94;16,96;20,1314;27,2418
25-crossing_minimization-8-0;84,88;26,76;31,9472;26,8571
26-crossing_minimization-8-0;88,62;26,46;30,3707;26,7579
27-crossing_minimization-8-0;89,08;23,04;26,2411;27,1358
28-crossing_minimization-8-0;84,06;20,96;25,5286;27,0427
29-crossing_minimization-8-0;99,36;24,62;25,2593;27,195
30-crossing_minimization-9-0;154,9;43,48;28,2911;35,3425
31-crossing_minimization-9-0;139,38;37,86;27,4468;35,0632
32-crossing_minimization-9-0;150,6;46,52;31,2639;36,7339
33-crossing_minimization-9-0;151,92;53,7;35,843;35,3982
34-crossing_minimization-9-0;154,4;51,22;33,8554;35,1519
35-crossing_minimization-9-0;154,22;38,34;25,2573;35,5119
36-crossing_minimization-9-0;152,66;48,8;32,5858;41,4063
37-crossing_minimization-9-0;146,74;48,26;33,3668;35,681
38-crossing_minimization-9-0;146,64;41,32;28,4625;38,9348
39-crossing_minimization-9-0;150,66;46,44;31,0985;35,7972
