instance;crossings_before;crossings_after;crossing_ratio_pct;time_ms
00-crossing_minimization-9-0;112;37;33,0357;55,7830
01-crossing_minimization-9-0;103;26;25,2427;56,5187
02-crossing_minimization-9-0;86;28;32,5581;56,9405
03-crossing_minimization-9-0;81;37;45,6790;56,4101
04-crossing_minimization-9-0;112;27;24,1071;55,2942
05-crossing_minimization-9-0;98;33;33,6735;53,5210
06-crossing_minimization-9-0;85;32;37,6471;55,6050
07-crossing_minimization-9-0;98;30;30,6122;56,6307
08-crossing_minimization-9-0;110;25;22,7273;54,6569
09-crossing_minimization-9-0;97;23;23,7113;103,6400
10-crossing_minimization-10-0;166;48;28,9157;104,5760
11-crossing_minimization-10-0;128;34;26,5625;100,0493
12-crossing_minimization-10-0;168;49;29,1667;99,0257
13-crossing_minimization-10-0;142;62;43,6620;109,9491
14-crossing_minimization-10-0;142;50;35,2113;118,6413
15-crossing_minimization-10-0;186;51;27,4194;129,9941
16-crossing_minimization-10-0;170;54;31,7647;73,2633
17-crossing_minimization-10-0;175;29;16,5714;70,1286
18-crossing_minimization-10-0;184;48;26,0870;70,5894
19-crossing_minimization-10-0;141;30;21,2766;110,3689
20-crossing_minimization-8-0;109;26;23,8532;90,4861
21-crossing_minimization-8-0;87;24;27,5862;142,2991
22-crossing_minimization-8-0;91;44;48,3516;175,0728
23-crossing_minimization-8-0;98;21;21,4286;127,2615
24-crossing_minimization-8-0;79;12;15,1899;119,5382
25-crossing_minimization-8-0;73;30;41,0959;86,1699
26-crossing_minimization-8-0;96;31;32,2917;143,2300
27-crossing_minimization-8-0;92;27;29,3478;123,0696
28-crossing_minimization-8-0;81;17;20,9877;119,6472
29-crossing_minimization-8-0;88;31;35,2273;115,1059
30-crossing_minimization-9-0;186;36;19,3548;132,0131
31-crossing_minimization-9-0;153;38;24,8366;159,2175
32-crossing_minimization-9-0;160;44;27,5000;163,3913
33-crossing_minimization-9-0;153;49;32,0261;169,4148
34-crossing_minimization-9-0;153;45;29,4118;104,9748
35-crossing_minimization-9-0;129;57;44,1860;103,1644
36-crossing_minimization-9-0;142;38;26,7606;154,2179
37-crossing_minimization-9-0;156;53;33,9744;148,9457
38-crossing_minimization-9-0;137;39;28,4672;152,8944
39-crossing_minimization-9-0;173;39;22,5434;145,6809
40-crossing_minimization-10-0;249;76;30,5221;165,2162
41-crossing_minimization-10-0;295;64;21,6949;180,8671
42-crossing_minimization-10-0;192;74;38,5417;198,2514
43-crossing_minimization-10-0;270;66;24,4444;191,7470
44-crossing_minimization-10-0;219;95;43,3790;207,7271
45-crossing_minimization-10-0;271;78;28,7823;244,5588
46-crossing_minimization-10-0;249;73;29,3173;209,3825
47-crossing_minimization-10-0;214;102;47,6636;187,6711
